municipio,codigo_ibge,taxa_100k_22,taxa_100k_23,taxa_100k_24,populacao_22,populacao_23,populacao_24
guaira,3517406,1988.34,1927.13,1919.65,39279,39852.0,40424
guapiacu,3517505,1386.39,1598.98,1586.31,21711,22014.0,22316
guapiara,3517604,1312.17,1025.4,1332.87,17071,17164.0,17256
guara,3517703,2445.45,3593.97,3304.95,18606,18698.0,18790
guaracai,3517802,1276.71,1178.99,828.21,7441,7464.0,7486
guaraci,3517901,2106.28,2192.23,2172.26,10350,10446.0,10542
guarani doeste,3518008,1473.58,1663.31,1450.73,1968,1984.0,1999
guaranta,3518107,2256.11,2253.43,1868.01,6427,6479.0,6531
guararapes,3518206,1317.53,1465.45,1458.96,31043,31458.0,31872
guararema,3518305,1786.4,2098.25,1627.82,31236,31836.0,32436
guaratingueta,3518404,1711.23,1627.5,1647.36,118044,119877.0,121710
guarei,3518503,1292.21,1109.57,1270.63,15013,15141.0,15268
guariba,3518602,2117.45,1629.26,1577.35,37498,38054.0,38609
guaruja,3518701,2825.47,3281.45,2620.24,287634,291304.0,294973
guarulhos,3518800,2338.96,2329.8,2430.64,1291771,1318568.0,1345364
guatapara,3518859,2103.83,2760.11,2693.65,7320,7391.0,7462
guzolandia,3518909,2072.54,1783.62,1777.36,4246,4261.0,4276
herculandia,3519006,1216.44,1182.98,1107.29,9125,9214.0,9302
holambra,3519055,1060.02,1257.74,1083.61,15094,15345.0,15596
hortolandia,3519071,2011.49,2203.02,2105.28,236641,241986.0,247331
iacanga,3519105,2194.12,2021.83,2257.12,10437,10535.0,10633
iacri,3519204,1402.71,1183.34,1723.86,6131,6169.0,6207
iaras,3519253,1423.22,1413.82,1247.43,8010,8134.0,8257
ibate,3519303,1180.93,1528.61,1685.29,32178,32644.0,33110
ibira,3519402,1471.34,1693.19,1248.53,11690,11812.0,11934
ibirarema,3519501,1080.66,1494.63,1439.41,6385,6423.0,6461
ibitinga,3519600,2985.02,2338.82,2435.87,60033,60971.0,61908
ibiuna,3519709,1696.98,1782.64,1831.27,75605,76628.0,77651
icem,3519808,1278.94,1824.17,1744.26,7819,7894.0,7969
iepe,3519907,1614.39,1471.55,1434.29,7619,7679.0,7739
igaracu do tiete,3520004,1484.46,1946.88,2108.41,23106,23268.0,23430
igarapava,3520103,2006.71,2265.52,2276.21,26212,26484.0,26755
igarata,3520202,2102.78,2231.52,2237.71,10605,10755.0,10904
iguape,3520301,2366.48,2430.67,2151.87,29115,29498.0,29881
ilha comprida,3520426,7213.65,4668.66,4206.38,13419,13687.0,13955
ilha solteira,3520442,2465.85,2104.65,2145.58,25549,25895.0,26240
ilhabela,3520400,2318.66,2792.43,2832.45,34934,35632.0,36329
indaiatuba,3520509,1472.93,1717.91,1644.91,255748,261772.0,267796
indiana,3520608,1611.0,1400.51,1329.22,5090,5141.0,5191
indiapora,3520707,2156.13,1866.4,2117.3,4035,4072.0,4109
inubia paulista,3520806,940.53,466.65,381.37,3615,3643.0,3671
ipaussu,3520905,1458.58,1200.9,1162.71,13712,13823.0,13933
ipero,3521002,1327.52,1275.89,1278.98,36459,37229.0,37999
ipeuna,3521101,1537.11,1894.43,1557.37,6831,6915.0,6999
ipigua,3521150,1508.65,1550.95,1406.85,6761,6899.0,7037
iporanga,3521200,1680.67,1376.26,1833.29,4046,4069.0,4091
ipua,3521309,2469.9,4446.58,4608.26,14454,14573.0,14691
iracemapolis,3521408,1379.34,1283.73,1363.94,21967,22201.0,22435
irapua,3521507,1368.87,1708.41,1842.79,6867,6907.0,6946
irapuru,3521606,1213.83,1419.54,1385.58,7085,7115.0,7145
itabera,3521705,1006.51,1065.06,1226.86,17983,18121.0,18258
itai,3521804,1759.33,1342.2,1145.39,25180,25555.0,25930
itajobi,3521903,1300.84,1156.64,1291.62,16989,17205.0,17420
itaju,3522000,1354.34,1092.9,1107.51,3618,3660.0,3702
itanhaem,3522109,4116.43,3885.83,3926.43,112476,114956.0,117435
itaoca,3522158,672.12,983.8,888.25,3422,3456.0,3490
itapecerica da serra,3522208,2412.28,2554.81,2452.3,158522,161225.0,163928
itapetininga,3522307,1879.71,2117.15,2114.5,157790,160782.0,163774
itapeva,3522406,1509.0,1416.08,1571.64,89728,91026.0,92324
itapevi,3522505,1831.28,1969.12,2073.38,232297,237111.0,241924
itapira,3522604,2136.85,1752.75,2002.19,72022,72971.0,73919
itapirapua paulista,3522653,789.6,367.31,476.73,4306,4356.0,4405
itapolis,3522703,1977.57,2216.16,2122.87,39493,39979.0,40464
itaporanga,3522802,1100.46,1474.63,1276.3,14085,14173.0,14260
itapui,3522901,1698.51,1635.07,1852.12,13659,13822.0,13984
itapura,3523008,1382.26,1451.09,1993.02,3979,3997.0,4014
itaquaquecetuba,3523107,2523.05,2386.02,2176.61,369275,375898.0,382521
itarare,3523206,2020.79,1980.71,1908.35,44438,44883.0,45327
itariri,3523305,1597.11,1508.47,1509.96,15528,15645.0,15762
itatiba,3523404,1483.67,1608.91,1515.79,121590,123997.0,126403
itatinga,3523503,1442.06,1558.52,1647.19,19070,19249.0,19427
itirapina,3523602,1956.9,2571.97,2306.33,16148,16291.0,16433
itirapua,3523701,1834.23,1838.49,2132.74,5779,5820.0,5861
itobi,3523800,1454.14,1513.29,1839.22,8046,8128.0,8210
