Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2023],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Santa Clara d'Oeste,3546108,santa-clarense,JOSÉ BASILIO DE FARIA,183.458,2598,14.16,2677,98.5,0.733,-,39492119.15,35360595.35,45847.14
Santa Cruz da Conceição,3546207,santa-cruzense,CARLOS EDUARDO ARANHA DE ALBUQUERQUE,150.13,4277,28.49,4365,99.6,0.79,33.33,43312491.23,40708712.48,35264.11
Santa Cruz da Esperança,3546256,santacruzense,MARCOS ANTONIO BAZILIO,148.062,2116,14.29,2162,86.2,0.743,-,30377214.46,29077340.54,29296.72
Santa Cruz das Palmeiras,3546306,palmeirense,LUIZ FERNANDO STOCCO,295.337,28864,97.73,29525,97.3,0.728,14.66,134608174.4,129958676.6,18687.66
Santa Cruz do Rio Pardo,3546405,santa-cruzense,OTACILIO PARRAS ASSIS,1114.747,46442,41.66,47677,96.3,0.762,10.05,292864094.5,290270525,57811.23
Santa Ernestina,3546504,santa-ernestinense,JOSÉ CARLOS SIMÃO,134.421,6118,45.51,6256,99.2,0.738,14.08,37686736.1,34897107.13,18714.85
Santa Fé do Sul,3546603,santa-fé-sulense,EVANDRO FARIAS MURA,206.537,34794,168.46,36098,97.9,0.784,2.54,318634406.3,305346331.6,41007.46
Santa Gertrudes,3546702,santa-gertrudense,LAZARO NOE DA SILVA,98.291,23611,240.22,24107,98.3,0.737,-,247034652.2,218975592.6,139885.74
Santa Isabel,3546801,isabelense,CARLOS AUGUSTO CHINCHILLA ALFONZO,363.332,53174,146.35,54586,97.8,0.738,11.57,263343627.8,259972054.7,28340.36
Santa Lúcia,3546900,santa-luciense,ANTONIO CARLOS ABUABUD JUNIOR,153.86,7149,46.46,7181,98.6,0.737,-,42525451.98,39537840.53,14751.7
Santa Maria da Serra,3547007,serrense,JOSIAS ZANI NETO,252.621,5243,20.75,5314,97.5,0.686,-,40180667.4,34805147.35,24297.18
Santa Mercedes,3547106,mercedense,VALDIR VERONA,166.753,2956,17.73,3012,98.8,0.739,32.26,34680181.52,29422440.77,23436.56
Santana da Ponte Pensa,3547205,santanense-da-ponte-pensa,VAGNER HERNANDES,129.888,1670,12.86,1698,100,0.773,-,29712226.62,23950725.58,27564.35
Santana de Parnaíba,3547304,parnaibano,ELVIS LEONARDO CEZAR,179.949,154105,856.38,162341,97.3,0.814,8.54,1669059966,1560953833,79579.96
Santa Rita d'Oeste,3547403,santa-ritense,OSMAR SAMPAIO,209.8,2733,13.03,2790,100,0.761,-,32433668.62,28878285.62,27518.08
Santa Rita do Passa Quatro,3547502,santa-ritense,MARCELO SIMAO,754.141,24833,32.93,25060,97.8,0.775,9.26,152654397.5,165965721.4,29877.17
Santa Rosa de Viterbo,3547601,santa-rosense,OMAR NAGIB MOUSSA,288.576,23411,81.13,23725,97.9,0.77,18.69,128764427.7,119518116.8,30914.1
Santa Salete,3547650,saletense,JÚLIO CESAR MARTINS MILIATTI,79.192,1645,20.77,1686,100,0.772,-,25175295.87,23077859.86,27025.83
Santo Anastácio,3547700,anastaciano,LUIZ INFANTE,552.876,17963,32.49,18045,98.5,0.753,16.3,91406771.49,86582667.43,26650.73
Santo André,3547809,andreense,GILVAN FERREIRA DE SOUZA JUNIOR,175.782,748919,4260.5,778711,97.4,0.815,10.23,3772410696,4141598594,45062.56
Santo Antônio da Alegria,3547908,alegriense,DENILSON DE CARVALHO,310.311,6775,21.83,6917,97.5,0.702,-,48568322.04,47625640.41,30114.17
Santo Antônio de Posse,3548005,possense,JOSÉ RICARDO CORTEZ,154.133,23244,150.8,23779,97.3,0.702,10.71,174791356.9,177533693.6,78794.3
Santo Antônio do Aracanguá,3548054,aracanguaense,LUIZ CARLOS DOS REIS NONATO,1308.432,8379,6.4,8568,98.9,0.757,29.85,83836705.15,79235083.06,33916.19
Santo Antônio do Jardim,3548104,jardinense,OSVALDO MOREIRA,109.956,6126,55.71,6237,97,0.714,35.71,38509816.16,39772097,37602.53
Santo Antônio do Pinhal,3548203,pinhalense,ANDERSON JOSE MENDONÇA,133.008,7133,53.63,7294,98.3,0.706,24.1,55054801.67,58748836.96,21690.65
Santo Expedito,3548302,expeditense,ANDERSON JOSE BETIO,94.465,3000,31.76,3063,99.1,0.732,-,26446313.6,23497457.63,14964.67
Santópolis do Aguapeí,3548401,santopolitano,GERSON ALVES DE LIMA JUNIOR,128.026,3899,30.45,3933,98.6,0.74,21.28,36722740.91,33527675.37,16609.02
Santos,3548500,santista,ROGÉRIO PEREIRA DOS SANTOS,281.033,418608,1489.53,429567,98.2,0.84,7.99,4328935144,4591046005,55508.46
São Bento do Sapucaí,3548609,sambentista,GILBERTO DONIZETI DE SOUZA,252.579,11674,46.22,11948,98.5,0.72,-,66448190.38,68036068.39,37283.14
São Bernardo do Campo,3548708,são-bernardense,MARCELO DE LIMA FERNANDES,409.532,810729,1979.65,840499,97.6,0.805,8.97,6047597532,6038379292,68571.36
São Caetano do Sul,3548807,sul-caetanense,ANACLETO CAMPANELLA JUNIOR,15.331,165655,10805.23,172109,97.4,0.862,10.81,2344581627,2320378464,95640.71
São Carlos,3548906,são-carlense,ANTONIO DONATO NETTO,1136.907,254857,224.17,265294,97.9,0.805,13.04,1420885276,1413050783,55044.88
São Francisco,3549003,são-francisquense,SEBASTIÃO DE OLIVEIRA BAPTISTA,75.579,2602,34.43,2629,100,0.723,-,27943826.16,27328745.68,18189.76
São João da Boa Vista,3549102,são-joanense,VANDERLEI BORGES DE CARVALHO,516.399,92547,179.22,95762,97.2,0.797,5.42,561130548.8,599412792.9,44794.34
São João das Duas Pontes,3549201,são-joanense,JOSÉ CARLOS BARUCI JÚNIOR,129.462,2580,19.93,2622,99.4,0.72,-,29161009.52,28274017.91,20591.79
São João de Iracema,3549250,iracemense,LUIZ AUGUSTO TORRES,178.396,1846,10.35,1880,98.1,0.748,-,30974994.26,26629224.67,26507.78
São João do Pau d'Alho,3549300,são-joanense,LUCAS DE OLIVEIRA BARBOSA,117.665,2242,19.05,2288,99.2,0.75,-,28592321.45,26901417.26,27920.27
São Joaquim da Barra,3549409,joaquinense,WAGNER JOSE SCHMIDT,410.863,48558,118.19,49815,96.7,0.762,10.29,273572985.8,247466039.4,41547.41
São José da Bela Vista,3549508,bela-vistense,WALTER CÁSSIO CARVALHO FACCIROLLI,276.952,7626,27.54,7690,97.9,0.693,13.33,48006983.65,43681137.26,25749.88
São José do Barreiro,3549607,barreirense,LUIS EDUARDO SANTOS RIBEIRO,570.685,3853,6.75,3898,95.5,0.684,-,46891898.17,44629605.67,15297.56
São José do Rio Pardo,3549706,rio-pardense,MARCIO CALLEGARI ZANETTI,419.684,52205,124.39,53416,97.6,0.774,20.45,273821911,278656045.1,42952.13
São José do Rio Preto,3549805,rio-pretense,FÁBIO ROGÉRIO CANDIDO,431.944,480393,1112.17,501597,98,0.797,9.79,2890331804,2977382094,44679.93
São José dos Campos,3549904,joseense,ANDERSON FARIAS FERREIRA,1099.409,697054,634.03,724756,97.4,0.807,10.41,4265105527,4495678137,61315.88
São Lourenço da Serra,3549953,são-lourensano,FELIPE GEFERSON SEME AMED,186.456,16067,86.17,16458,97.2,0.728,19.61,86006490.43,78122138.83,17697.76
São Luiz do Paraitinga,3550001,luizense,ALEX EUZÉBIO TORRES,617.315,10337,16.75,10497,100,0.697,9.52,65146020.04,62497505.73,19098.4
São Manuel,3550100,são-manuelense,ODIRLEI JOSÉ FÉLIX,650.734,37289,57.3,38166,97.3,0.744,7.11,202947806.9,209688723.6,32463.42
São Miguel Arcanjo,3550209,são-miguelense,ELIAS RODRIGUES DE PAULA,930.339,32039,34.44,32904,95.9,0.71,2.85,154362441.8,144680080.9,28853.83
São Paulo,3550308,paulistano,RICARDO LUIS REIS NUNES,1521.202,11451999,7528.26,11895578,96,0.805,10.88,93231985324,1.06829E+11,66872.84
São Pedro,3550407,são-pedrense,THIAGO SILVERIO DA SILVA,611.278,38256,62.58,39725,94.8,0.755,14.67,224020058.1,220906951.5,24418.31
São Pedro do Turvo,3550506,são-pedrense,LUIZ FELIPE DE CASTRO TAVARES,731.221,7217,9.87,7333,97.4,0.703,22.47,61693894.35,59927011.5,30342.39
São Roque,3550605,são-roquense,MARCOS AUGUSTO ISSA HENRIQUES DE ARAÚJO,306.908,79484,258.98,81342,97.6,0.768,4.42,541012648.1,546559210.9,37074.85
São Sebastião,3550704,sebastianense,REINALDO ALVES MOREIRA FILHO,402.395,81595,202.77,84019,98.2,0.772,11.7,2361066698,1885084091,174696.31
São Sebastião da Grama,3550803,gramense,JOSÉ FRANCISCO MARTHA,252.41,10441,41.37,10484,98.3,0.701,10.53,58429251.66,57346964.24,35304.59
São Simão,3550902,simonense,IZAIAS LEAO DE SOUZA,617.252,13442,21.78,13590,99.8,0.766,-,97180688.66,92021811.32,32456.75
São Vicente,3551009,vicentino,KAYO FELYPE NACHTAJLER AMADO,148.151,329911,2226.86,338407,96.7,0.768,12.87,1490770864,1666649320,16506.51
Sarapuí,3551108,sarapuiano,GUSTAVO DE SOUZA BARROS VIEIRA,352.592,10369,29.41,10632,99,0.707,18.18,60878859.6,57998455.19,19433.04
Sarutaiá,3551207,sarutaiano,JOÃO ANTONIO FULONI,141.608,3704,26.16,3769,98.7,0.688,20.41,35472666.08,31585674.93,26651.32
Sebastianópolis do Sul,3551306,sebastianopolense,JOSE ANTONIO ABREU DO VALLE,167.848,3130,18.65,3187,99,0.773,-,57856181.81,53682530.47,116133.14
Serra Azul,3551405,serra-azulense,DEBORA CRISTINA RIBEIRO DA SILVA,283.144,12746,45.02,13058,96.9,0.686,-,60517051.35,58513382.13,12785.98
Serrana,3551504,serranense,LEONARDO CARESSATO CAPITELI,126.046,43909,348.36,45408,97.5,0.729,11.07,230098765.6,220866402.1,29221.73
Serra Negra,3551603,serrano ou serra-negrense,ELMIR KALIL ABI CHEDID,203.734,29894,146.73,30920,97.8,0.767,7.91,192470714.5,180211139.7,28485.03
Sertãozinho,3551702,sertanezino,JOSÉ ALBERTO GIMENEZ,403.089,126887,314.79,131600,98.5,0.761,8.35,816627628.2,780495570.8,55352.42
Sete Barras,3551801,barrense,ITALO DONIZETH COSTA ROBERTO,1062.699,12730,11.98,12912,96.1,0.673,13.89,76356319.74,74153716.1,29783.21
Severínia,3551900,severinense,GUILHERME AUGUSTO DE ALMEIDA SECCHIERI,140.46,14576,103.77,14724,96,0.715,6.8,98209959.56,89748336.6,15258.78
Silveiras,3552007,silveirense,EDSON MENDES MOTA,414.782,6186,14.91,6313,98.2,0.678,14.08,48894283.01,48663499.8,14518.99
Socorro,3552106,socorrense,MAURICIO DE OLIVEIRA SANTOS,449.029,40122,89.35,41405,97.7,0.729,7.35,199139714.1,185217618.8,26870.22
Sorocaba,3552205,sorocabano,RODRIGO MAGANHATO,449.872,723682,1608.64,757459,98.1,0.798,10.44,4538071957,4415422994,64046.61
Sud Mennucci,3552304,sud-mennucciano,JOSÉ URBINO DOS SANTOS NETO,594.744,7355,12.37,7466,98.3,0.747,-,68589425.87,60338578.29,29307.88
Sumaré,3552403,sumareense,HENRIQUE STEIN SCIASCIO,153.465,279545,1821.56,289787,97.7,0.762,10.46,1213907375,1129281240,55816.79
Suzano,3552502,suzanense,PEDRO CHARLES SHIRAKAWA ISHI,206.236,307429,1490.67,318765,96.7,0.765,11.34,1387161046,1230789065,48818.92
Suzanápolis,3552551,suzanapolense,GERSO ANTONIO DE OLIVEIRA,330.587,3408,10.31,3464,99.8,0.699,33.33,46943476.4,44932713.36,84169.56
Tabapuã,3552601,tabapuãnense,SILVIO CESAR SARTORELLO,345.792,11323,32.75,11499,98.4,0.735,10.64,77975921.35,75810030.46,22859.37
Tabatinga,3552700,tabatinguense,VALTER VALENTIM CAMARGO,368.604,14769,40.07,14994,96.5,0.704,16.67,86234448.09,83768560.9,20278.99
Taboão da Serra,3552809,taboanense,DANIEL PLANA BOGALHO,20.388,273542,13416.81,284274,96.9,0.769,12.73,1162079892,1211631253,34588.58
Taciba,3552908,tacibense,IZIDORO ARCESTI RICCI,607.267,6260,10.31,6399,99.3,0.723,-,62290820.32,54823659.75,29259.48
Taguaí,3553005,taguaíno,EDER CARLOS FOGAÇA DA CRUZ,145.332,12669,87.17,13006,97.3,0.709,13.33,80098788.22,78185749.22,23824.33
Taiaçu,3553104,taiaçuense,SUELI APARECIDA MENDES BIANCARDI,107.059,5677,53.03,5751,97.8,0.71,20.41,39684789.73,36576763.66,17319.16
Taiúva,3553203,taiuvense,MAURO VICENTE BERSI,132.459,6548,49.43,6733,97.8,0.76,-,39404549.65,36011338.63,25108.07
Tambaú,3553302,tambauense,LEONARDO TEIXEIRA SPIGA REAL,561.788,21435,38.15,21682,97.7,0.731,4.26,133140083.3,127877605.3,30119.07
Tanabi,3553401,tanabiense,ALEXANDRE SILVEIRA BERTOLINI,747.218,25265,33.81,26021,99,0.748,7.66,146416719.2,142064710.3,50458.24
Tapiraí,3553500,tapiraiense,ARALDO TODESCO,755.101,7996,10.59,8122,98.3,0.681,-,52744580.64,49903412.61,23966.14
Tapiratiba,3553609,tapiratibense,RAMON JESUS VIEIRA,221.891,11816,53.25,11936,98.2,0.751,11.24,72545053.44,71919141.81,23275.49
Taquaral,3553658,taquaralense,ARI FERNANDO JACINTO,53.892,2619,48.6,2652,98.2,0.759,-,30735733.83,28507298.39,16647.2
Taquaritinga,3553708,taquaritinguense,FULVIO ZUPPANI,594.335,52260,87.93,53322,98.2,0.748,17.08,292431117.5,297730908.5,28846.24
Taquarituba,3553807,taquaritubense,ÉDER MIANO PEREIRA,448.515,24350,54.29,24863,97.8,0.701,14.55,152635840.4,152216213.7,42424.52
Taquarivaí,3553856,taquarivaiense,RUBENS CARLOS SOUTO DE BARROS,231.792,6876,29.66,7112,99.4,0.679,-,52262739.86,49120384.3,61548.88
Tarabai,3553906,tarabaiense,RUBENS PINAFFI JUNIOR,201.385,6536,32.46,6635,99.2,0.726,31.75,47204715.33,47714951.44,22125.16
Tarumã,3553955,tarumaense,ADRIANA BALEJO PIEDADE DA SILVA,302.913,14882,49.13,15248,99,0.753,5.41,123435718.5,106935251.7,58396.99
Tatuí,3554003,tatuiano,MIGUEL LOPES CARDOSO JUNIOR,523.749,123942,236.64,128560,97.6,0.752,10.66,579242876.7,583655302.4,40892.85
Taubaté,3554102,taubateano,SERGIO LUIZ VICTOR JUNIOR,625.003,310739,497.18,321298,98.1,0.8,11.05,1875900687,2050748613,50495.56
Tejupá,3554201,tejupaense,VALTER BORANELLI,296.189,4127,13.93,4142,98.4,0.668,-,39281961.67,36865945.02,31023.44
Teodoro Sampaio,3554300,teodorense,CLAUDIO EVANGELISTA DA SILVA JUNIOR,1555.803,22173,14.25,22559,97.1,0.741,20,131593656.8,129785942.3,26801.81
Terra Roxa,3554409,terra-roxense,ROGERIO RAFAEL FURLINI,221.541,7904,35.68,7985,98.9,0.749,-,45325619.57,44697022.79,18410.36
Tietê,3554508,tieteense,JOSÉ CARLOS REGONHA JUNIOR,404.396,37663,93.13,38690,97.1,0.778,9.11,244271457.4,252500860.8,50258.52
Timburi,3554607,timburiense,CRISTIANO DA CUNHA AMORIM,196.79,2464,12.52,2490,99.7,0.71,-,33158222.79,29148105.69,25047.71
Torre de Pedra,3554656,torrepedrense,CIRO LUIZ PEDROSO,71.348,2046,28.68,2063,98.4,0.714,-,27548000.75,26067649.46,15524.93
Torrinha,3554706,torrinhense,ARI RODOLFO BUZATO,315.267,9335,29.61,9484,96.4,0.744,-,57864033.92,54634840.32,28177.45
Trabiju,3554755,trabijuense,MARCELO RODRIGUES FONSECA,63.421,1682,26.52,1719,98.4,0.722,52.63,25439857.65,23141585.36,25639
Tremembé,3554805,tremembeense,CLEMENTE ANTONIO DE LIMA NETO,191.094,51173,267.79,53083,97.8,0.785,8.85,228221598.7,210423186.7,18591.56
Três Fronteiras,3554904,trifonteirano,FLÁVIO LUIZ RENDA DE OLIVEIRA,151.594,6804,44.88,7013,98.8,0.753,-,39218686.96,36593318.73,20839.4
Tuiuti,3554953,tuiutiense,ALEXANDRE TADEU GONÇALVES,126.731,6778,53.48,6947,97.3,0.728,-,36584291.15,36158745.93,25756.65
Tupã,3555000,tupãense,RENAN VICTOR PONTELLI,627.986,63928,101.8,65416,97.3,0.771,6.69,304668577,294665886.6,33732.18
Tupi Paulista,3555109,tupiense,JULIANO VIGILATO GUIRO,244.77,15854,64.77,16206,99.4,0.769,-,83827383.75,82725707.84,21720.31
Turiúba,3555208,turiubano,JORGE AUGUSTO MOLINA,153.235,1818,11.86,1839,100,0.751,66.67,30257846.64,29035274.17,27877.78
Turmalina,3555307,turmalinense,PRISCILLA TATIANA DIAS MASSONI,147.797,1669,11.29,1672,97.1,0.736,-,30345247.37,28861349.68,44206.07
Ubarana,3555356,ubaranense,VANDERLEI RODRIGUES DA CRUZ,209.861,5365,25.56,5456,99.7,0.7,18.18,52454184.2,50367765.63,32774.2
Ubatuba,3555406,ubatubano,FLAVIA COMITTE DO NASCIMENTO,708.105,92981,131.31,96598,97.7,0.751,10.53,662585496.5,618940133.8,29152.88
Ubirajara,3555505,ubirajarense,LEILA ALVIM BORDIM,282.179,5132,18.19,5265,98.9,0.727,27.4,37207576.7,33413557.56,23709.14
Uchoa,3555604,uchoense,JOSÉ CLAUDIO MARTINS,252.434,10394,41.18,10627,98.2,0.721,31.25,70409269.24,72224314.54,39430.92
União Paulista,3555703,união-paulistense,KENDREA ALVES PAPILE CAVATÃO,79.056,1603,20.28,1628,96.8,0.749,-,28772978.13,24474460.53,30538.05
Urânia,3555802,uraniense,IVAN SOUBHIA GARCIA,209.262,8833,42.21,8973,100,0.746,11.76,43983529.37,46008286.77,31344.02
Uru,3555901,uruense,ROBSON EDUARDO FORTE,146.901,1387,9.44,1419,95.1,0.712,-,28263799.1,24553136.27,40623.52
Urupês,3556008,urupeense,ROBERTO CACCIARI FILHO,323.916,13744,42.43,14038,99.1,0.745,22.06,91094946.94,86706349.96,34609.7
Valentim Gentil,3556107,valentim-gentilense,CLAUDINEI CARVASSAN RODRIGUES,149.741,14098,94.15,14531,98.8,0.735,6.02,78374985.54,77129122.62,31863.26
Valinhos,3556206,valinhense,FRANKLIN DUARTE DE LIMA,148.538,126373,850.78,131277,97.2,0.819,11.35,1017742943,1076608998,59842.76
Valparaíso,3556305,valparaisense,CARLOS ALEXANDRE PEREIRA,857.661,24241,28.26,24723,98,0.725,11.72,165044886.2,149980939.2,45529.09
Vargem,3556354,vargense,LEODECIO ALVES DE LIMA,142.595,10512,73.72,10805,98.1,0.699,8.2,53980520.38,58222282.56,14148.82
Vargem Grande do Sul,3556404,vargem-grandense,CELSO LUIS RIBEIRO,267.178,40133,150.21,41226,98.8,0.737,8.6,205333834,216650320.2,29684.07
Vargem Grande Paulista,3556453,vargem-grandense,PITER APARECIDO DOS SANTOS,42.489,50415,1186.54,52103,97.2,0.77,8.96,305049741.1,321818139.3,53359.16
Várzea Paulista,3556503,varzino,RODOLFO WILSON RODRIGUES BRAGA,35.12,115771,3296.44,119576,96.9,0.759,13.16,469574174.1,500887314.5,31913.34
Vera Cruz,3556602,vera-cruzense,RODOLFO SILVA DAVOLI,247.716,10176,41.08,10294,99,0.754,9.09,59211460.88,47961690.34,22231.9
Vinhedo,3556701,vinhedense,DARIO PACHECO DE MORAIS,80.95,76540,945.52,79235,97.5,0.817,5.68,873081884.2,864024627.2,154054.53
Viradouro,3556800,viradourense,NILTON AUGUSTO ALVES FILHO,217.726,17414,79.98,17681,98.4,0.739,9.48,111367231.4,106845539.1,23190.53
Vista Alegre do Alto,3556909,vista-alegrense,NELSON ANTONIO ROZANI,95.429,8109,84.97,8327,100,0.744,13.89,61446127.49,57451056.05,46388.5
Vitória Brasil,3556958,vitoriabrasiliense,PAULO HENRIQUE MIOTTO,49.832,1794,36,1826,98.5,0.725,38.46,24589607.12,21669151,24394.51
Votorantim,3557006,votorantinense,WEBER MAGANHATO JUNIOR,184.186,127923,694.53,132849,97.8,0.767,12.57,591225865.3,640504674,31487.9
Votuporanga,3557105,votuporanguense,JORGE AUGUSTO SEBA,420.703,96634,229.7,100159,98.8,0.79,10.25,581132723.5,527043868.2,40190.41
Zacarias,3557154,zacariense,HEDER JEAN BRUNO DE OLIVEIRA,319.056,2692,8.44,2761,98.6,0.729,-,45559837.13,41378926.32,46763.19
Chavantes,3557204,chavantense,LUIZ FILIPE DE PAULA JACINTO,188.727,12211,64.7,12411,98.6,0.729,21.74,68861543.65,67976116.6,21448.28
Estiva Gerbi,3557303,estivense,MARCIO ROBERTO PAVAN,74.144,11295,152.34,11566,98.6,0.74,-,77692260.01,66308785.4,33843.06
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,
Escolarização 6 a 14 anos : [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100,,,,,,,,,,,,,
Fontes:,,,,,,,,,,,,,
"Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023",,,,,,,,,,,,,
População no último censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023,,,,,,,,,,,,,
Densidade demográfica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023,,,,,,,,,,,,,
"População estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024",,,,,,,,,,,,,
"Escolarização 6 a 14 anos : IBGE, Censo Demográfico 2010",,,,,,,,,,,,,
IDHM Índice de desenvolvimento humano municipal : Programa das Nações Unidas para o Desenvolvimento - PNUD,,,,,,,,,,,,,
"Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022",,,,,,,,,,,,,
"Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional",,,,,,,,,,,,,
"Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional",,,,,,,,,,,,,
"PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA",,,,,,,,,,,,,
