Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2023],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Barrinha,3505609,barrinhense,MARIA LÚCIA TERESINHA GROTTA,146.025,32092,219.77,33181,97.5,0.725,7.92,149991558.3,146377793,18630.66
Barueri,3505708,barueriense,JOSE ROBERTO PITERI,65.701,316473,4816.87,330339,97.8,0.786,7.45,4950967905,4703546013,207460.98
Bastos,3505807,bastense,KLEBER LOPES DE SOUSA,170.912,21503,125.81,21900,98.5,0.751,7.52,128154190,117874133.3,50936.28
Batatais,3505906,batataense,LUIS FERNANDO BENEDINI GASPAR JUNIOR,849.526,58402,68.75,59873,97.7,0.761,16.1,317917378.4,314669142.1,38097.08
Bauru,3506003,bauruense,SUÉLLEN SILVA ROSIM,667.684,379146,567.85,391740,96.9,0.801,9.97,1807245548,1986946253,43806.93
Bebedouro,3506102,bebedourense,LUCAS GIBIN SEREN,683.192,76373,111.79,78210,98.5,0.78,11.46,456948769.8,477287928.3,52575.43
Bento de Abreu,3506201,bento-abreuense,TEREZINHA DO CARMO SALESSE,301.687,2606,8.64,2642,97.9,0.744,-,37969973.56,32645887.89,69504.55
Bernardino de Campos,3506300,bernardinense,WILSON JOSE GARCIA,244.158,11607,47.54,11852,98.3,0.734,-,68194050.75,63179998.07,33842.25
Bertioga,3506359,bertioguense,MARCELO HELENO VILARES,491.546,64188,130.58,66873,98.1,0.73,16.77,1001472338,954137770.8,31255.51
Bilac,3506409,bilaquense,ANTÔNIO FERREIRA LOUREIRO,158.025,7319,46.32,7455,99,0.768,46.88,57746217.7,53310247.72,35693.15
Birigui,3506508,biriguiense,SAMANTA PAULA ALBANI BORINI,530.031,118979,224.48,122988,98,0.78,13.48,589614160.1,615993968.2,31305.12
Biritiba Mirim,3506607,biritibano,CARLOS ALBERTO TAINO JUNIOR,317.406,29683,93.52,30526,97.7,0.712,2.79,143188092.9,139474918.4,29190.32
Boa Esperança do Sul,3506706,boa-esperancense,JOSÉ MANOEL DE SOUZA,690.748,12978,18.79,13135,96,0.681,11.49,90356347.45,88681432.64,25197.09
Bocaina,3506805,bocainense,CAIO AUGUSTO CREPALDI,363.926,11259,30.94,11467,99.3,0.742,24.19,75234075.38,70697734.15,22429.71
Bofete,3506904,bofetense,EUGENIO CARLOS ALVES,653.541,10460,16.01,10688,95.1,0.705,8.26,72485560.2,70297242.73,17546.39
Boituva,3507001,boituvense,EDSON JOSE MARCUSSO,248.954,61081,245.35,63415,98.7,0.78,13.92,391042085.9,394639257.3,53597.04
Bom Jesus dos Perdões,3507100,perdoense,SÉRGIO FERREIRA,108.366,22006,203.07,22501,97.7,0.713,10.07,144261232.1,134596335.4,55196.42
