codigo_ibge,pop_censo_22,pop_estimada_24,municipio
3555000,63928,65416,tupa
3535507,41120,42087,paraguacu paulista
3505203,31595,32405,bariri
3506706,12978,13135,boa esperanca do sul
3516606,6380,6435,galia
3519204,6131,6207,iacri
3519253,8010,8257,iaras
3520202,10605,10904,igarata
3540903,17078,17309,pradopolis
3546256,2116,2162,santa cruz da esperanca
3505104,5640,5659,barbosa
3506805,11259,11467,bocaina
3531308,47574,48725,monte alto
3536109,7153,7382,pardinho
3536802,6557,6718,pedra bela
3504800,9596,9854,balsamo
3523503,19070,19427,itatinga
3538907,22431,22743,pirajui
3541406,225668,234083,presidente prudente
3543402,698642,728400,ribeirao preto
3500204,4351,4478,adolfo
3504305,4483,4519,avai
3522307,157790,163774,itapetininga
3531605,4222,4301,monte castelo
3552700,14769,14994,tabatinga
3553104,5677,5751,taiacu
3555406,92981,96598,ubatuba
3514957,2323,2353,embauba
3515194,4157,4217,espirito santo do turvo
3524402,240275,249968,jacarei
3541703,13163,13399,quata
3510153,6283,6524,canitar
3544004,31328,32267,rio das pedras
3507704,5356,5466,brauna
3536000,10580,10729,parapua
3537206,11281,11539,pedro de toledo
3515509,71186,73286,fernandopolis
3550407,38256,39725,sao pedro
3551405,12746,13058,serra azul
3527009,7014,7147,lindoia
3536604,7400,7430,paulo de faria
3542305,4494,4611,redencao da serra
3542404,20145,20565,regente feijo
3518107,6427,6531,guaranta
3549250,1846,1880,sao joao de iracema
3508801,16654,16905,cafelandia
3514304,8096,8186,dourado
3529401,418261,429380,maua
3556503,115771,119576,varzea paulista
3506409,7319,7455,bilac
3515707,179198,185622,ferraz de vasconcelos
3519303,32178,33110,ibate
3530409,4669,4771,mirassolandia
3532504,9699,9921,neves paulista
3550704,81595,84019,sao sebastiao
3555356,5365,5456,ubarana
3505351,5179,5256,barra do chapeu
3517208,11239,11459,guaicara
3518909,4246,4276,guzolandia
3522505,232297,241924,itapevi
3526605,7171,7328,lavrinhas
3542701,6404,6492,restinga
